,Día,CdMx,EdoMex,Nacional
,1,144,149,748
,2,141,154,736
,3,147,147,737
,4,142,123,756
,5,152,164,793
,6,154,148,773
,7,148,182,885
,8,158,164,804
,9,158,162,822
,10,160,143,835
,11,142,155,835
,12,182,180,877
,13,188,176,904
,14,176,189,960
,15,182,189,957
,16,188,187,935
,17,165,170,880
,18,174,190,979
,19,201,184,985
,20,210,186,1017
,21,202,217,1096
,22,183,222,1041
,23,204,186,1145
,24,176,197,1049
,25,194,210,1177
,26,192,199,1126
,27,213,188,1182
,28,234,226,1278
,29,205,216,1210
,30,199,218,1219
,31,207,209,1240
,32,214,216,1273
,33,199,213,1257
,34,222,230,1375
,35,220,215,1377
,36,250,242,1414
,37,238,253,1457
,38,213,229,1389
,39,217,230,1359
,40,215,252,1312
,41,231,217,1387
,42,252,212,1431
,43,265,214,1382
,44,202,206,1291
,45,195,194,1210
,46,194,218,1219
,47,208,205,1208
,48,205,209,1139
,49,209,209,1244
,50,183,189,1210
,51,185,191,1111
,52,149,163,1052
,53,154,151,1007
,54,151,153,1008
,55,157,161,928
,56,156,178,1034
,57,156,155,934
,58,134,120,855
,59,117,164,893
,60,131,135,821
,61,141,109,742
,62,141,125,753
,63,111,160,789
,64,148,111,746
,65,131,109,725
,66,105,99,664
,67,106,105,686
,68,101,118,590
,69,123,124,693
,70,125,111,701
,71,94,83,573
,72,113,89,579
,73,103,76,564
,74,102,89,552
,75,93,84,566
,76,105,86,558
,77,97,98,564
,78,100,81,533
,79,90,81,489
,80,100,87,489
,81,105,84,503
,82,85,82,461
,83,81,81,466
,84,102,85,506
,85,87,62,440
,86,87,87,498
,87,104,70,467
,88,68,49,401
,89,86,51,409
,90,92,76,451
,91,67,60,384
,92,65,67,380
,93,65,68,385
,94,47,62,358
,95,84,55,363
,96,58,49,335
,97,58,68,367
,98,65,65,344
,99,72,60,384
,100,72,55,325
,101,57,35,285
,102,42,51,277
,103,56,42,302
,104,63,48,332
,105,58,49,323
,106,47,46,306
,107,39,63,295
,108,48,52,282
,109,46,47,285
,110,58,40,290
,111,42,42,253
,112,37,44,300
,113,35,32,263
,114,45,53,297
,115,42,36,279
,116,36,41,267
,117,26,37,259
,118,38,41,250
,119,46,31,246
,120,41,41,282
,121,35,31,250
,122,35,31,260
,123,29,33,240
,124,38,35,247
,125,31,29,201
,126,30,34,224
,127,23,39,232
,128,33,33,221
,129,34,20,190
,130,26,22,198
,131,21,39,202
,132,23,32,194
,133,29,28,204
,134,20,25,186
,135,30,36,189
,136,22,17,198
,137,17,21,149
,138,21,19,166
,139,17,21,179
,140,20,15,162
,141,11,10,145
,142,17,14,165
,143,13,11,145
,144,15,11,125
,145,11,13,119
,146,18,19,139
,147,20,12,156
,148,6,16,118
,149,13,20,127
,150,7,13,100
,151,17,19,124
,152,10,11,98
,153,8,13,112
,154,9,13,119
,155,15,14,122
,156,7,14,112
,157,8,12,96
,158,8,11,96
,159,9,9,81
,160,7,6,116
,161,9,10,104
,162,9,12,105
,163,5,10,92
,164,8,12,98
,165,5,12,95
,166,5,9,86
,167,4,10,90
,168,6,7,104
,169,6,6,90
,170,3,11,87
,171,5,3,63
,172,6,5,87
,173,5,8,96
,174,5,7,82
,175,4,6,98
,176,11,6,96
,177,5,10,90
,178,3,8,81
,179,9,9,106
,180,6,6,70
,181,3,7,81
,182,9,5,91
,183,6,6,91
,184,11,4,90
,185,9,7,94
,186,6,11,93
,187,3,7,81
,188,5,3,112
,189,9,6,105
,190,9,8,99
,191,9,4,95
,192,5,7,96
,193,4,12,106
,194,9,4,106
,195,13,9,113
,196,6,7,122
,197,8,9,122
,198,15,8,125
,199,19,10,132
,200,9,9,128
,201,11,7,112
,202,23,10,147
,203,21,13,135
,204,19,16,164
,205,22,17,160
,206,13,10,139
,207,21,5,136
,208,29,13,141
,209,21,18,165
,210,31,23,207
,211,22,16,172
,212,30,29,206
,213,30,29,208
,214,25,15,216
,215,29,40,228
,216,34,30,234
,217,34,36,270
,218,41,44,295
,219,44,37,313
,220,38,41,282
,221,36,41,337
,222,37,42,313
,223,49,48,363
,224,42,48,400
,225,47,48,400
,226,51,58,428
,227,65,55,429
,228,46,67,474
,229,63,58,475
,230,61,64,497
,231,78,72,559
,232,57,76,505
,233,66,71,510
,234,59,75,541
,235,62,69,552
,236,53,80,545
,237,68,75,526
,238,58,84,617
,239,75,86,624
,240,70,91,593
,241,56,78,599
,242,77,67,608
,243,74,92,632
,244,66,78,617
,245,69,90,677
,246,66,73,625
,247,59,103,712
,248,38,81,591
,249,63,77,613
,250,48,70,657
,251,56,63,583
,252,70,95,686
,253,59,83,640
,254,44,69,574
,255,55,81,611
,256,40,60,549
,257,52,69,560
,258,43,65,561
,259,47,75,559
,260,48,63,553
,261,48,50,438
,262,43,46,367
,263,24,31,255
,264,25,21,196
,265,20,9,115
